Question,Answers,World
"When hosting a Mural collaborative session to Plan a chatbot dialog. It is recommended to streamline your process and work exclusively with your AI developers and AI ethic advocates, not including in the process management, staff, or other company employees.",FALSE;TRUE,AI
What is a dialog skill?,A container for the artifacts that define the flow of a conversation;A collection of user statements that have the same meaning;A connected knowledge of repositories in order to provide more personal and accurate responses,AI
Which Dialog Nodes are not automatically provisioned in Watson Assistant?,About_restaurant;Welcome;General_Greetings;Anything_else;General_Ending,AI
Is it true that chatbot responses are only limited to text?,No - chatbot responses can also include Images;Yes - chatbot are limited to text but the user can use text-to-speech to listen to the messages as audio,AI
"By setting up several values within an Entity, we can answer more specific questions from users such as information from different menus in a restaurant.",TRUE;FALSE,AI
"A chatbot can be more than just a question and answer tool, within the Watson Assistant environment you can preview your chatbot, interact with it, and even filter menu options and see detailed pictures of your selections.",TRUE;FALSE,AI
"Which of the following best describes the difference between AI, Machine Learning, and Deep Learning?","Deep Learning is a subset of Machine Learning, which in turn is a subset of artificial intelligence;Each level is differentiated by specific algorithms that power the system;They are synonyms for the same approach for the field of artificial intelligence;Machine Learning is a subset of Deep Learning, which in turn is a subset of artificial intelligence",AI
AI learning process entails human and machine activities; which of the following best depicts machine-related activities?,Learns by adjusting weights and biases;Identify the data-analytics problem;Define hyperparameters;Analyze the data provided by the model,AI
Which of the following learning models is predominantly used with game-playing robots or self-driving cars?,Reinforcement learning;Supervised learning;Unsupervised learning;Transfer learning,AI
"Cognitive (AI) systems are best characterized by the following four attributes: Understand, reason, learn and ______________.",Interact;Predict;Optimize;Converge,AI
"For a natural language processing (NLP) system, which of the following poses the greatest challenge?",Innuendos and nuances used in human speech;The Syntax of a sentence;The semantics of what the sentence means;Grammatical constructs,AI
Which of the following is a true statement regarding natural language processing (NLP)?,NLP is a classification problem;NLP is a regression problem;NLP has not yet conquered the challenge of depicting human tone;NLP is used when the system needs to produce a new composition made up of numerous separate article passages,AI
Some of the best practices used in building conversational systems include which of the following:,All of the others;Introduce Your Chatbot to First-Time Users;Add Variations to Your Responses;Handle the 'I Do Not Understand' Case,AI
"Although artificial intelligence has come a long way since its inception, there are a number of things that machines are not capable of doing today, if ever. Which of the following human traits are AI systems currently NOT capable of?",Imagination;Pattern Identification;Solving complex equations;Locating Knowledge,AI
"When building a chatbot, the dialog uses the _________, that are identified in the user's input, plus context from the application, to interact with the user and ultimately provide a useful response.",Intents;Entities;Content Catalog;Dialog,AI
"As a chatbot interacts with a human user it extracts keywords, known as __________, from the conversation to determine the next course of action or offer a recommendation.",Entities;Intents;Content Catalog;Dialog,AI
The key difference between narrow intelligence and broad intelligence is best described by which of the following phrases?,"Narrow AI can only do a certain task and it can do it quite well, but narrow AI can't transfer its knowledge to different sorts of problems as with Broad AI;Narrow and Broad intelligence is distinguished by the complexity of algorithms;Broad intelligence requires huge amounts of data, whereas narrow intelligence relies on minimum data;Broad intelligence can extract meaning from images, whereas Narrow Intelligence is best suited for language processing",AI
Which of the following best depict or exemplify Broad AI?,"All of the others;A self-driving car, which happens to be a collection of narrow AI technologies;A system that supports engineers who work on complex maintenance tasks on a platform in the middle of the Atlantic Ocean;A system within a bank that analyzes the balance sheet of corporate customers to recommend the best currency hedging strategy",AI
Which of the following best depicts General AI?,The ability to use previous experiences to come up with new creative ideas;A chatbot that is also connected to Tone Analyzer;Watson Machine Learning service;A system that is self-aware,AI
How does IBM view the impact of artificial intelligence?,It is here to augment human intelligence;It is how systems predict the future;It is about automating mundane tasks that humans do;It is about the quest for artificial general intelligence (AGI),AI
Which of the following is a key contributor to the evolution of modern AI system?,"All of the others;Explosive growth of available data from social media, sensors, and smart devices;Development of advanced computational algorithms;Modern computers have far greater power than they did in the 1950s",AI
AI enables a partnership between humans and technology. Which of the following is best performed by technology and machines rather than humans?,Pattern identification;Imagination;Abstraction;Dilemmas,AI
Humans have superior data gathering and learning techniques compared to machines. In which context could humans use some augmented help?,"All of the others;When there is endless relevant newly published data, such that is impossible to know all of it at all times;When humans try to make in-depth if-then statements in minimum and optimized time;When there are many variables at play",AI
"While relevant, AI use-cases span various areas across virtually every industry. Three main macro domains continue to drive the adoption as well as the most economic savings across businesses. Which of the following best depicts those three main domains?","Engagement, insight, and automation;Narrow, broad, and general;Supervised, unsupervised, and reinforcement;All of the others",AI
"In a 2016 article, The Washington Post stated that: 'Half of the American workforce is at risk of being replaced by robots in the next decade. Which of the following tasks is key to successful AI technology adoption?","Training humans to work with machines;The increasing use of natural language processing;Incorporating machines that adapt, and learn to make recommendations;Optimizing business processes for automation",AI
"From retail to education, AI technology plays an important role in reinventing industries and transforming our world. Which of the following are examples of key AI technologies?",Virtual agents and computer vision;Education and healthcare;Privacy and bias;Personalization and automation,AI
In what way will AI augment education in the future?,All of the others;Personalized Education;Learning Content Indexing-to-Skill & Search;Custom Teaching Methods,AI
Eighty percent of all data is 'dark data' and is expected to grow to 93% of 2020. Which of the following best depicts dark data?,Unstructured data;Structured data;Big data;Undiscovered data,Cloud
